Type :,DIL805
Test :,_Henrique-sp3-aq10Cs-resfr100Cs_01.01.07_


;Time;Temperature;Change in Length;Nominal Temperature
 1;0.00000000;23.99131203;0.00000000;0.00000000
 2;0.17072199;24.04318428;-0.19673702;1.69525003
 3;0.34019801;23.89706230;-0.18362123;3.39000988
 4;0.51087099;23.99684334;-0.20460650;5.09689999
 5;0.68036199;23.96261215;-0.20198333;6.79152012
 6;0.85100001;23.99078941;-0.19673702;8.49807930
 7;1.02052402;23.98525810;-0.16001278;10.19332981
 8;1.19118500;24.04529953;-0.21509913;11.89990997
 9;1.36060500;24.03660774;-0.16001278;13.59416962
 10;1.53016698;23.84018517;-0.17837489;15.28977013
 11;1.70088005;23.90917015;-0.17312860;16.99669075
 12;1.87029600;23.98682594;-0.16525912;18.69109917
 13;2.04091191;24.11426544;-0.16525912;20.39727974
 14;2.21032000;24.00185204;-0.18886754;22.09132957
 15;2.38090301;23.87994766;-0.23083809;23.79722214
 16;2.55039310;24.61040497;-0.17312860;25.49190140
 17;2.72108006;26.33268547;-0.00524634;27.19876099
 18;2.89068294;28.89914894;0.22296858;28.89492989
 19;3.06019211;30.77349472;0.45905295;30.58988953
 20;3.23081398;32.44577026;0.62431204;32.29626083
 21;3.40032411;33.95506668;0.82367218;33.99137878
 22;3.57095003;35.71437454;1.02303231;35.69757843
 23;3.74033594;37.36874390;1.22239244;37.39141083
 24;3.91089892;39.13096237;1.42175257;39.09709167
 25;4.08030701;40.89287186;1.61062014;40.79114914
 26;4.25103998;42.58961868;1.80998015;42.49836731
 27;4.42045879;44.18435287;1.99097824;44.19253922
 28;4.59113312;45.79528809;2.20083094;45.89945984
 29;4.76071692;47.68546677;2.41330695;47.59524918
 30;4.93021822;49.30260849;2.59692812;49.29016113
 31;5.10090590;51.11711121;2.80678082;50.99712753
 32;5.27038622;52.68831253;2.96941686;52.69206238
 33;5.44101286;54.36757660;3.19763160;54.39817047
 34;5.61051083;56.13626862;3.40748429;56.09323883
 35;5.78001308;57.76236725;3.62520671;57.78820801
 36;5.95079613;59.46063232;3.82981348;59.49615097
 37;6.12024212;61.19766998;4.00818825;61.19049835
 38;6.29097319;62.93001556;4.21804094;62.89778137
 39;6.46049500;64.59040070;4.40166235;64.59300232
 40;6.63119411;66.27363586;4.60364532;66.29985809
 41;6.80067205;68.00470734;4.81087542;67.99485016
 42;6.97020292;69.67727661;5.00236607;69.69007111
 43;7.14095211;71.34932709;5.20172596;71.39749146
 44;7.31031704;73.04530334;5.43518734;73.09127808
 45;7.48092318;74.80241394;5.62143135;74.79721069
 46;7.65042210;76.56964874;5.83653069;76.49234772
 47;7.82116890;78.16885376;6.04638338;78.19985962
 48;7.99069500;80.01457977;6.27722168;79.89488983
 49;8.16024780;81.55606842;6.44510365;81.59051514
 50;8.33085155;83.29113007;6.64708710;83.29663086
 51;8.50044346;84.96295929;6.85431671;84.99244690
 52;8.67113495;86.77597046;7.08515453;86.69944000
 53;8.84053230;88.41641235;7.28713799;88.39344025
 54;9.01112938;90.12978363;7.50223684;90.09937286
 55;9.18065453;91.82273865;7.69897413;91.79457855
 56;9.35013771;93.46996307;7.91144991;93.48939514
 57;9.52081013;95.20907593;8.11868000;95.19606018
 58;9.69031620;96.84072876;8.32853317;96.89126587
 59;9.86103821;98.58568573;8.54625511;98.59847260
 60;10.03042603;100.30241394;8.75348473;100.29232788
